datetime,open,high,low,close,volume,open_interest
2024-01-01 00:00:00,18000.49671415301,18003.846365798192,17996.115337970972,18011.933319346932,266412,136799
2024-01-01 00:05:00,18000.35844985184,18002.449806658526,17999.624022601824,18014.698773767355,205219,98367
2024-01-01 00:10:00,18001.00613838994,18013.734743380814,17998.845623307327,18011.563403461223,105033,63201
2024-01-01 00:15:00,18002.52916824635,18016.658682776088,17995.751955259577,18006.70064847622,173324,52739
2024-01-01 00:20:00,18002.295014871626,18002.92673776814,17986.24330128003,18013.520479352774,115689,63231
2024-01-01 00:25:00,18002.060877914675,18020.78512283955,17990.61990504729,18010.87191174039,209756,92495
2024-01-01 00:30:00,18003.640090730183,18004.679516403212,17993.386736211054,18006.90517739143,100066,71168
2024-01-01 00:35:00,18004.407525459337,18015.233452165357,17998.537748995175,17982.81336190275,214159,82624
2024-01-01 00:40:00,18003.9380510734,18018.11926146242,17985.302976684743,17989.69001851245,276318,60635
2024-01-01 00:45:00,18004.48061111699,18021.89999359191,17996.540310292246,18003.231081158698,107533,59964
2024-01-01 00:50:00,18004.017193424173,18018.29893206682,18002.275338088257,17992.91904785074,215828,77785
2024-01-01 00:55:00,18003.551463670607,18019.586025332002,17991.21013334825,17982.54408051488,159658,145046
2024-01-01 01:00:00,18003.79342594217,18010.582429793027,18001.51665807264,17999.454166444284,138498,132797
2024-01-01 01:05:00,18001.880145697512,18018.176647972443,17994.97568284148,17994.018814482093,209028,134790
2024-01-01 01:10:00,18000.155227865,18001.757524792694,17990.006989090645,17995.49899296088,111772,126928
2024-01-01 01:15:00,17999.59294033576,18017.48927345697,17982.108489842056,17997.298867531743,189385,62336
2024-01-01 01:20:00,17998.580109215425,18009.5319567385,17988.709177608624,18015.535890810534,280108,127475
2024-01-01 01:25:00,17998.89435654802,18015.24031194727,17984.849181227386,18006.831571799008,289603,77412
2024-01-01 01:30:00,17997.986332472497,18007.032698162864,17978.129995692518,18007.341859270702,112940,132212
2024-01-01 01:35:00,17996.574028771163,18009.445582675093,17993.944246373205,17983.680397370772,218027,125379
2024-01-01 01:40:00,17998.039677540084,18008.567730758805,17992.545047029693,17995.561775596412,116932,95591
2024-01-01 01:45:00,17997.8139012396,18012.445691674704,17989.922379727646,17997.554279988693,287899,111750
2024-01-01 01:50:00,17997.881429444285,17999.514029084898,17989.44486587351,18003.075242436873,292503,140648
2024-01-01 01:55:00,17996.456681258074,17997.663722937887,17988.236259752764,18000.128918174032,124648,146134
2024-01-01 02:00:00,17995.91229853355,18000.85436321375,17977.760078482417,18016.05559864282,132966,85454
2024-01-01 02:05:00,17996.023221123258,17999.21411472552,17981.74256823392,18000.496259723113,258849,148537
2024-01-01 02:10:00,17994.872227545835,18012.30789887768,17982.71412326402,17996.793594234852,263639,112672
2024-01-01 02:15:00,17995.24792556418,17999.632205311344,17989.060471206925,17982.67581904173,248246,77228
2024-01-01 02:20:00,17994.647286874264,18014.164591990648,17978.171479189838,17995.629344034616,142598,64429
2024-01-01 02:25:00,17994.35559312447,18001.093508959893,17975.25438289477,18001.54274707391,290271,134294
2024-01-01 02:30:00,17993.75388651224,17997.396244826014,17977.329920861237,18006.326492444274,244870,117808
2024-01-01 02:35:00,17995.60616469675,18011.4001348396,17995.57486259292,17977.539771662014,296436,132886
2024-01-01 02:40:00,17995.59266747201,18008.766822982026,17982.864640068343,17988.880696634908,248630,103015
2024-01-01 02:45:00,17994.534956543055,18004.498870872118,17993.512248914212,18009.45648637969,161084,138074
2024-01-01 02:50:00,17995.357501455157,18006.464772473908,17990.205357048482,17995.333971978045,275309,118936
2024-01-01 02:55:00,17994.136657805186,18008.520693370632,17992.94616379823,17999.676741608633,296569,130907
2024-01-01 03:00:00,17994.34552140019,17998.91461622682,17982.269612341202,18011.52207560122,231250,107378
2024-01-01 03:05:00,17992.38585127631,18012.312529597446,17978.65405300646,17992.396253228053,117118,87310
2024-01-01 03:10:00,17991.057665227414,18010.55352847035,17988.767912466097,18007.467750699874,122616,133683
2024-01-01 03:15:00,17991.254526463283,18004.26104019022,17983.57774880238,18000.726200996043,231870,118827
2024-01-01 03:20:00,17991.992993043277,17995.98384206186,17982.868262864165,17999.19765963471,107601,85256
2024-01-01 03:25:00,17992.164361324467,18005.768926173092,17984.78330088925,18000.66307079664,125363,126428
2024-01-01 03:30:00,17992.04871304208,17993.492681221665,17989.628213032378,17981.4097947393,102795,149862
2024-01-01 03:35:00,17991.74760934649,17992.360659390608,17983.36865354274,17989.259269082,197462,88889
2024-01-01 03:40:00,17990.269087356122,17995.422745126347,17975.245526399955,17990.769857301108,276336,101428
2024-01-01 03:45:00,17989.54924314773,17998.801702282515,17988.129089857062,17972.061922482062,202892,87207
2024-01-01 03:50:00,17989.088604376768,18006.454054484937,17987.48500409513,17997.295733840438,172833,100255
2024-01-01 03:55:00,17990.145726602987,18004.689107998314,17983.050300766266,17986.986111828835,103084,141531
2024-01-01 04:00:00,17990.489344892554,18005.343475316553,17971.654830660176,17996.982781531085,195865,55409
2024-01-01 04:05:00,17988.726304737193,17997.236171426153,17975.354851802735,18000.4562219424,100731,92438
2024-01-01 04:10:00,17989.050388706586,17995.969088557526,17975.476989573133,17987.73202302273,232201,145359
2024-01-01 04:15:00,17988.66530642617,17996.086081685862,17981.426906609413,17968.50258001337,259094,57869
2024-01-01 04:20:00,17987.988384425866,18007.741375700585,17976.115168601696,17986.104594637087,101605,106862
2024-01-01 04:25:00,17988.600060714707,17989.40224454296,17988.397437034153,17986.40001051601,177506,137937
2024-01-01 04:30:00,17989.631060237203,18006.97169015965,17976.909139309013,17965.29077474592,144130,75958
2024-01-01 04:35:00,17990.56234035632,18002.135848527767,17972.296601404792,17993.14147092524,260337,126302
2024-01-01 04:40:00,17989.723122833097,17998.49543121689,17977.4716534662,17991.56171115509,263402,69768
2024-01-01 04:45:00,17989.413910457246,18003.919063665548,17971.93993858792,17988.13356942772,168469,146330
2024-01-01 04:50:00,17989.74517388865,17999.47855271714,17975.265712779328,17978.74055024987,246259,76145
2024-01-01 04:55:00,17990.72071901577,18008.189183777406,17988.309550687696,17982.217986929776,256863,125622
2024-01-01 05:00:00,17990.241544777924,18008.255582058147,17972.19247863221,17986.74109675949,190436,76442
2024-01-01 05:05:00,17990.055885801263,17998.49030433873,17988.727008914146,18013.199816137607,212341,131948
