datetime,open_spot,high_spot,low_spot,close_spot,volume_spot,open_fut,high_fut,low_fut,close_fut,volume_fut,open_interest,call_oi,put_oi,call_volume,put_volume,call_iv,put_iv,ema_5,ema_15,spot_return,futures_return,futures_basis,pcr_oi,pcr_volume,avg_iv,regime
2024-01-01 00:05:00,18000.35844985184,18002.449806658526,17999.624022601824,18001.414868313237,205219,18000.35844985184,18002.449806658526,17999.624022601824,18014.698773767355,205219,98367,20352,75264,10828,11163,0.2497947604100906,0.1764989950027429,17998.78043122387,17997.95716963344,0.0002195673683205,0.0001535345690766,0.0007379367428224,3.69811320754717,1.0309383080901366,0.2131468777064167,1
2024-01-01 00:10:00,18001.00613838994,18013.734743380814,17998.845623307327,18007.006533172076,105033,18001.00613838994,18013.734743380814,17998.845623307327,18011.563403461223,105033,63201,76095,48584,9994,18935,0.2178123189835307,0.1834519938344468,18001.522465206606,17999.088340075767,0.0003106236315169,-0.0001740451142429,0.0002530609560646,0.6384650765490505,1.8946367820692416,0.2006321564089887,1
2024-01-01 00:15:00,18002.52916824635,18016.658682776088,17995.751955259577,18000.069656008818,173324,18002.52916824635,18016.658682776088,17995.751955259577,18006.70064847622,173324,52739,41586,67850,16556,17919,0.2323074311182347,0.2405649687427591,18001.03819547401,17999.211004567398,-0.0003852321123157,-0.0002699796167648,0.000368387044835,1.6315586976386285,1.0823266489490215,0.2364361999304969,0
2024-01-01 00:20:00,18002.295014871626,18002.92673776814,17986.24330128003,17992.91225134142,115689,18002.295014871626,18002.92673776814,17986.24330128003,18013.520479352774,115689,63231,25344,24722,11436,12635,0.204655702572395,0.1877288805244164,17998.329547429814,17998.42366041415,-0.0003976320538854,0.0003787385046094,0.001145352554577,0.975457702020202,1.1048443511717383,0.1961922915484057,-1
2024-01-01 00:25:00,18002.060877914675,18020.78512283955,17990.61990504729,18005.159435144506,209756,18002.060877914675,18020.78512283955,17990.61990504729,18010.87191174039,209756,92495,24507,37772,13676,16886,0.2313170666460791,0.1833877969464429,18000.606176668043,17999.265632255447,0.0006806671222538,-0.000147032203695,0.000317268870429,1.541273921736647,1.2347177537291605,0.207352431796261,1
2024-01-01 00:30:00,18003.640090730183,18004.679516403212,17993.386736211054,18000.463278786054,100066,18003.640090730183,18004.679516403212,17993.386736211054,18006.90517739143,100066,71168,57598,40569,12614,8281,0.1346097867407322,0.1951827833515595,18000.558544040716,17999.415338071773,-0.0002608228144476,-0.0002202411059496,0.0003578740449956,0.7043473731726796,0.6564927857935627,0.1648962850461458,0
2024-01-01 00:35:00,18004.407525459337,18015.23345216536,17998.537748995175,17998.459192163886,214159,18004.407525459337,18015.23345216536,17998.537748995175,17982.81336190275,214159,82624,63988,61679,13994,6536,0.165205918622711,0.2095998657271837,17999.858760081774,17999.295819833285,-0.0001113352801608,-0.001337920939292,-0.0008692872036483,0.9639151090829532,0.4670573102758325,0.1874028921749473,0
2024-01-01 00:40:00,18003.9380510734,18018.11926146242,17985.302976684743,18000.816324124833,276318,18003.9380510734,18018.11926146242,17985.302976684743,17989.69001851245,276318,60635,52885,23235,6715,11201,0.233934722668584,0.133894838761314,18000.177948096127,17999.48588286973,0.0001309629860968,0.000382401600423,-0.0006181000579107,0.4393495320034036,1.6680565897244974,0.183914780714949,1
2024-01-01 00:45:00,18004.48061111699,18021.89999359191,17996.540310292246,18003.55798432871,107533,18004.48061111699,18021.89999359191,17996.540310292246,18003.231081158698,107533,59964,36865,24576,13150,8164,0.1462151774646959,0.226744368606397,18001.304626840323,17999.9948955521,0.0001523075484193,0.0007527123942832,-1.815769806699426e-05,0.6666485826664859,0.6208365019011407,0.1864797730355464,1
2024-01-01 00:50:00,18004.017193424173,18018.29893206682,18002.275338088257,18000.993470101483,215828,18004.017193424173,18018.29893206682,18002.275338088257,17992.91904785074,215828,77785,57055,46707,15107,7770,0.1301714728154029,0.1766156535689237,18001.200907927378,18000.119717370773,-0.0001424448561477,-0.0005727879213164,-0.0004485542569721,0.818631145386031,0.5143311047858609,0.1533935631921633,0
