datetime,open,high,low,close,volume
2024-01-01 00:00:00,18000.49671415301,18003.846365798192,17996.115337970972,17997.463212679184,266412
2024-01-01 00:05:00,18000.35844985184,18002.449806658526,17999.624022601824,18001.414868313237,205219
2024-01-01 00:10:00,18001.00613838994,18013.734743380814,17998.845623307327,18007.006533172076,105033
2024-01-01 00:15:00,18002.52916824635,18016.658682776088,17995.751955259577,18000.069656008818,173324
2024-01-01 00:20:00,18002.295014871626,18002.92673776814,17986.24330128003,17992.91225134142,115689
2024-01-01 00:25:00,18002.060877914675,18020.78512283955,17990.61990504729,18005.159435144506,209756
2024-01-01 00:30:00,18003.640090730183,18004.679516403212,17993.386736211054,18000.463278786054,100066
2024-01-01 00:35:00,18004.407525459337,18015.233452165357,17998.537748995175,17998.459192163886,214159
2024-01-01 00:40:00,18003.9380510734,18018.11926146242,17985.302976684743,18000.816324124833,276318
2024-01-01 00:45:00,18004.48061111699,18021.89999359191,17996.540310292246,18003.55798432871,107533
2024-01-01 00:50:00,18004.017193424173,18018.29893206682,18002.275338088257,18000.993470101483,215828
2024-01-01 00:55:00,18003.551463670607,18019.586025332002,17991.21013334825,17992.52363338511,159658
2024-01-01 01:00:00,18003.79342594217,18010.582429793027,18001.51665807264,18008.278756926607,138498
2024-01-01 01:05:00,18001.880145697512,18018.176647972443,17994.97568284148,18008.254520903905,209028
2024-01-01 01:10:00,18000.155227865,18001.757524792694,17990.006989090645,18003.4128378217,111772
2024-01-01 01:15:00,17999.59294033576,18017.48927345697,17982.108489842056,17993.904511983634,189385
2024-01-01 01:20:00,17998.580109215425,18009.5319567385,17988.709177608624,17997.572651545688,280108
2024-01-01 01:25:00,17998.89435654802,18015.24031194727,17984.849181227386,17998.86174997187,289603
2024-01-01 01:30:00,17997.986332472497,18007.032698162864,17978.129995692518,18000.980304420307,112940
2024-01-01 01:35:00,17996.574028771163,18009.445582675093,17993.944246373205,17999.915731214754,218027
2024-01-01 01:40:00,17998.039677540084,18008.567730758805,17992.545047029693,17994.36880854619,116932
2024-01-01 01:45:00,17997.8139012396,18012.445691674704,17989.922379727646,17998.223879021665,287899
2024-01-01 01:50:00,17997.881429444285,17999.514029084898,17989.44486587351,18000.167831467363,292503
2024-01-01 01:55:00,17996.456681258074,17997.663722937887,17988.236259752764,18003.735792868807,124648
