datetime,open_spot,high_spot,low_spot,close_spot,volume_spot,open_fut,high_fut,low_fut,close_fut,volume_fut,open_interest,call_oi,put_oi,call_volume,put_volume,call_iv,put_iv
2024-01-01 00:00:00,18000.49671415301,18003.846365798192,17996.115337970972,17997.463212679184,266412,18000.49671415301,18003.846365798192,17996.115337970972,18011.933319346932,266412,136799,68084,40622,15638,17467,0.1275786365021064,0.23766015661328255
2024-01-01 00:05:00,18000.35844985184,18002.449806658526,17999.624022601824,18001.414868313237,205219,18000.35844985184,18002.449806658526,17999.624022601824,18014.698773767355,205219,98367,20352,75264,10828,11163,0.24979476041009063,0.17649899500274294
2024-01-01 00:10:00,18001.00613838994,18013.734743380814,17998.845623307327,18007.006533172076,105033,18001.00613838994,18013.734743380814,17998.845623307327,18011.563403461223,105033,63201,76095,48584,9994,18935,0.21781231898353073,0.18345199383444688
2024-01-01 00:15:00,18002.52916824635,18016.658682776088,17995.751955259577,18000.069656008818,173324,18002.52916824635,18016.658682776088,17995.751955259577,18006.70064847622,173324,52739,41586,67850,16556,17919,0.2323074311182347,0.2405649687427591
2024-01-01 00:20:00,18002.295014871626,18002.92673776814,17986.24330128003,17992.91225134142,115689,18002.295014871626,18002.92673776814,17986.24330128003,18013.520479352774,115689,63231,25344,24722,11436,12635,0.20465570257239502,0.18772888052441644
2024-01-01 00:25:00,18002.060877914675,18020.78512283955,17990.61990504729,18005.159435144506,209756,18002.060877914675,18020.78512283955,17990.61990504729,18010.87191174039,209756,92495,24507,37772,13676,16886,0.2313170666460791,0.18338779694644292
2024-01-01 00:30:00,18003.640090730183,18004.679516403212,17993.386736211054,18000.463278786054,100066,18003.640090730183,18004.679516403212,17993.386736211054,18006.90517739143,100066,71168,57598,40569,12614,8281,0.1346097867407322,0.19518278335155953
2024-01-01 00:35:00,18004.407525459337,18015.233452165357,17998.537748995175,17998.459192163886,214159,18004.407525459337,18015.233452165357,17998.537748995175,17982.81336190275,214159,82624,63988,61679,13994,6536,0.16520591862271103,0.20959986572718375
2024-01-01 00:40:00,18003.9380510734,18018.11926146242,17985.302976684743,18000.816324124833,276318,18003.9380510734,18018.11926146242,17985.302976684743,17989.69001851245,276318,60635,52885,23235,6715,11201,0.23393472266858406,0.13389483876131408
2024-01-01 00:45:00,18004.48061111699,18021.89999359191,17996.540310292246,18003.55798432871,107533,18004.48061111699,18021.89999359191,17996.540310292246,18003.231081158698,107533,59964,36865,24576,13150,8164,0.14621517746469598,0.22674436860639707
2024-01-01 00:50:00,18004.017193424173,18018.29893206682,18002.275338088257,18000.993470101483,215828,18004.017193424173,18018.29893206682,18002.275338088257,17992.91904785074,215828,77785,57055,46707,15107,7770,0.13017147281540295,0.1766156535689237
2024-01-01 00:55:00,18003.551463670607,18019.586025332002,17991.21013334825,17992.52363338511,159658,18003.551463670607,18019.586025332002,17991.21013334825,17982.54408051488,159658,145046,47213,53868,8483,15155,0.22245546219287848,0.12940530628667313
2024-01-01 01:00:00,18003.79342594217,18010.582429793027,18001.51665807264,18008.278756926607,138498,18003.79342594217,18010.582429793027,18001.51665807264,17999.454166444284,138498,132797,75954,61632,12675,12399,0.22861320023362852,0.2222037469957677
2024-01-01 01:05:00,18001.880145697512,18018.176647972443,17994.97568284148,18008.254520903905,209028,18001.880145697512,18018.176647972443,17994.97568284148,17994.018814482093,209028,134790,77450,61476,6757,8845,0.14114478836468708,0.16900349631921535
2024-01-01 01:10:00,18000.155227865,18001.757524792694,17990.006989090645,18003.4128378217,111772,18000.155227865,18001.757524792694,17990.006989090645,17995.49899296088,111772,126928,24477,71684,6809,8435,0.231064977761753,0.133047774362357
2024-01-01 01:15:00,17999.59294033576,18017.48927345697,17982.108489842056,17993.904511983634,189385,17999.59294033576,18017.48927345697,17982.108489842056,17997.298867531743,189385,62336,26533,50285,19579,9710,0.20927981342763205,0.20239127514062255
2024-01-01 01:20:00,17998.580109215425,18009.5319567385,17988.709177608624,17997.572651545688,280108,17998.580109215425,18009.5319567385,17988.709177608624,18015.535890810534,280108,127475,69395,44154,10539,5561,0.18761074881815593,0.2344170759463734
2024-01-01 01:25:00,17998.89435654802,18015.24031194727,17984.849181227386,17998.86174997187,289603,17998.89435654802,18015.24031194727,17984.849181227386,18006.831571799008,289603,77412,79976,40054,11048,15613,0.22793252506158007,0.23540795622381822
2024-01-01 01:30:00,17997.986332472497,18007.032698162864,17978.129995692518,18000.980304420307,112940,17997.986332472497,18007.032698162864,17978.129995692518,18007.341859270702,112940,132212,43396,37165,16199,9717,0.17450240241146556,0.2444962517251665
2024-01-01 01:35:00,17996.574028771163,18009.445582675093,17993.944246373205,17999.915731214754,218027,17996.574028771163,18009.445582675093,17993.944246373205,17983.680397370772,218027,125379,32755,34439,16417,12623,0.14521921430904164,0.23280170976966943
2024-01-01 01:40:00,17998.039677540084,18008.567730758805,17992.545047029693,17994.36880854619,116932,17998.039677540084,18008.567730758805,17992.545047029693,17995.561775596412,116932,95591,20865,72675,16687,15327,0.15703084795937977,0.12027831951491177
2024-01-01 01:45:00,17997.8139012396,18012.445691674704,17989.922379727646,17998.223879021665,287899,17997.8139012396,18012.445691674704,17989.922379727646,17997.554279988693,287899,111750,31173,64518,15512,12187,0.18567132237813094,0.16943135163374073
2024-01-01 01:50:00,17997.881429444285,17999.514029084898,17989.44486587351,18000.167831467363,292503,17997.881429444285,17999.514029084898,17989.44486587351,18003.075242436873,292503,140648,78905,42515,14862,18301,0.18907300304751284,0.22641053538771538
2024-01-01 01:55:00,17996.456681258074,17997.663722937887,17988.236259752764,18003.735792868807,124648,17996.456681258074,17997.663722937887,17988.236259752764,18000.128918174032,124648,146134,58097,46962,19136,15253,0.22472550743736036,0.16761289077980165
2024-01-01 02:00:00,17995.91229853355,18000.85436321375,17977.760078482417,17999.434831232673,132966,17995.91229853355,18000.85436321375,17977.760078482417,18016.05559864282,132966,85454,53371,73934,17807,7180,0.22287585407480348,0.1982013058293618
2024-01-01 02:05:00,17996.023221123258,17999.21411472552,17981.74256823392,17999.968504560136,258849,17996.023221123258,17999.21411472552,17981.74256823392,18000.496259723113,258849,148537,58524,62549,6151,6960,0.19557765243659475,0.19882120315868917
2024-01-01 02:10:00,17994.872227545835,18012.30789887768,17982.71412326402,17995.29136068548,263639,17994.872227545835,18012.30789887768,17982.71412326402,17996.793594234852,263639,112672,31254,57763,10492,8879,0.22150211283751192,0.167453289525047
2024-01-01 02:15:00,17995.24792556418,17999.632205311344,17989.060471206925,18002.3002212902,248246,17995.24792556418,17999.632205311344,17989.060471206925,17982.67581904173,248246,77228,24018,70653,11711,10153,0.14493054957817722,0.2375816105465674
2024-01-01 02:20:00,17994.647286874264,18014.164591990648,17978.171479189838,17996.69610085406,142598,17994.647286874264,18014.164591990648,17978.171479189838,17995.629344034616,142598,64429,25192,64754,19973,12035,0.12650838852212826,0.18541968490019528
2024-01-01 02:25:00,17994.35559312447,18001.093508959893,17975.25438289477,17990.050153573604,290271,17994.35559312447,18001.093508959893,17975.25438289477,18001.54274707391,290271,134294,22015,65278,11302,16471,0.23357239694251103,0.18042194677187512
2024-01-01 02:30:00,17993.75388651224,17997.396244826014,17977.329920861237,18000.770736362865,244870,17993.75388651224,17997.396244826014,17977.329920861237,18006.326492444274,244870,117808,62618,39464,9747,17076,0.12982208418916005,0.24967678693604647
2024-01-01 02:35:00,17995.60616469675,18011.4001348396,17995.57486259292,17999.095681059443,296436,17995.60616469675,18011.4001348396,17995.57486259292,17977.539771662014,296436,132886,23380,62036,15415,8270,0.15206949586671964,0.18415504732944016
2024-01-01 02:40:00,17995.59266747201,18008.766822982026,17982.864640068343,17993.37744736637,248630,17995.59266747201,18008.766822982026,17982.864640068343,17988.880696634908,248630,103015,48343,78444,19238,9687,0.21039146345117,0.14319177275071554
2024-01-01 02:45:00,17994.534956543055,18004.498870872118,17993.512248914212,17992.13749170606,161084,17994.534956543055,18004.498870872118,17993.512248914212,18009.45648637969,161084,138074,23770,50413,15859,5582,0.17322823189155018,0.18669902497224694
2024-01-01 02:50:00,17995.357501455157,18006.464772473908,17990.205357048482,17996.84037918086,275309,17995.357501455157,18006.464772473908,17990.205357048482,17995.333971978045,275309,118936,25829,53270,13402,14805,0.23392081608901616,0.2258221756175909
2024-01-01 02:55:00,17994.136657805186,18008.520693370632,17992.94616379823,17996.452581781523,296569,17994.136657805186,18008.520693370632,17992.94616379823,17999.676741608633,296569,130907,54381,62299,15686,14293,0.15873737330609505,0.22099184249677659
2024-01-01 03:00:00,17994.34552140019,17998.91461622682,17982.269612341202,17995.33198272835,231250,17994.34552140019,17998.91461622682,17982.269612341202,18011.52207560122,231250,107378,65915,40269,9681,5288,0.1215432750670167,0.22251562946410122
